Numero_dossier_ID,Client,Formule,date.ouverture,heure.ouverture,Matricule.de.traitement,Cause.intervention,date.de.survenance,Type.d.energie,Outil.d.assistance,Assistance.ou.Administratif,TOP.D.R,TOP.VR,TOP.Rappat.valide,TOP.Poursuite,TOP.Recup,TOP.Autres.Garanties,annee.ouverture,mois.ouverture
6116590,C10,F20,2021-03-11,11:03:00,154,Panne mécanique,2021-03-11,,MCS,Assistance,1,0,0,0,0,0,2021,3
8182460,C7,F12,2022-05-30,11:46:00,141,"Clés, Carburant, Crevaison",2022-05-30,Essence,MCS,Assistance,1,0,0,0,0,0,2022,5
8436909,C1,F0,2022-03-24,09:53:00,1088,Vol / Vandalisme,2022-03-24,Hybride,MCS,Assistance,1,0,0,0,0,0,2022,3
8064679,C8,F175,2022-07-21,18:01:00,288,Panne mécanique,2022-07-21,Hybride,MCS,Assistance,1,1,0,0,0,0,2022,7
7496281,C1,F0,2022-12-30,11:09:00,1739,Panne mécanique,2022-12-29,Essence,MCS,Assistance,1,0,0,0,0,0,2022,12
5485956,C4,F8,2022-10-02,09:07:00,904,Accident,2022-10-02,Autre,Higgins,Assistance,1,0,0,0,0,0,2022,10
7286218,C9,F15,2021-02-10,11:04:00,884,"Clés, Carburant, Crevaison",2021-02-10,Essence,MCS,Assistance,1,0,0,0,0,0,2021,2
6149359,C1,F71,2022-09-24,09:28:00,739,Panne mécanique,2022-09-24,Diesel,Higgins,Assistance,0,0,0,0,0,0,2022,9
7227203,C7,F21,2021-07-20,17:56:00,1153,Accident,2021-07-20,Diesel,MCS,Assistance,1,0,0,0,0,0,2021,7
7984376,C1,F18,2022-09-12,11:25:00,902,Panne mécanique,2022-09-12,Diesel,MCS,Assistance,1,0,0,1,0,0,2022,9
6169121,C3,F10,2022-02-25,11:04:00,1577,Panne mécanique,2022-02-25,Diesel,MCS,,1,0,0,0,0,0,2022,2
8427312,C1,F0,2021-05-13,18:47:00,415,Inconnue,2021-05-13,Diesel,MCS,Assistance,1,0,1,0,0,0,2021,5
5520531,C4,F4,2021-02-05,14:48:00,584,Vol / Vandalisme,2021-02-03,Essence,MCS,Assistance,1,0,0,0,0,0,2021,2
8325725,C1,F6,2021-08-16,12:34:00,1215,Panne mécanique,2021-08-16,Diesel,MCS,Assistance,1,0,0,0,0,0,2021,8
7499213,C3,F5,2021-06-02,13:38:00,180,Panne mécanique,2021-06-02,Essence,Higgins,Assistance,1,0,0,0,0,0,2021,6
5849085,C4,F23,2021-11-27,07:30:00,346,Panne mécanique,2021-11-27,Diesel,MCS,Assistance,1,0,1,0,0,0,2021,11
5727344,C10,F17,2022-07-22,17:24:00,691,Panne mécanique,2022-07-22,Hybride,MCS,Assistance,1,0,0,0,0,0,2022,7
7085257,C14,F310,2021-04-07,15:37:00,956,Panne mécanique,2021-04-07,Autre,MCS,Assistance,1,0,0,0,0,0,2021,4
6826884,C0,F1,2021-09-25,17:37:00,201,Panne mécanique,2021-09-25,Diesel,MCS,Assistance,1,0,0,0,0,0,2021,9
7661209,C15,F33,2022-04-19,18:10:00,707,"Clés, Carburant, Crevaison",2022-04-19,Autre,Higgins,Assistance,1,0,0,0,0,0,2022,4
7807024,C4,F4,2021-12-28,16:49:00,632,Panne mécanique,2021-12-28,Diesel,MCS,Assistance,1,0,1,0,0,0,2021,12
6864283,C7,F43,2022-09-22,12:14:00,467,"Clés, Carburant, Crevaison",2022-09-22,Diesel,MCS,Assistance,1,0,0,0,0,0,2022,9
5781086,C11,F25,2022-09-24,12:53:00,1288,Vol / Vandalisme,2022-09-24,Essence,MCS,,0,0,0,0,0,0,2022,9
7048675,C25,F79,2021-11-05,11:07:00,129,Panne mécanique,2021-11-05,Diesel,MCS,Assistance,1,0,0,0,0,0,2021,11
6891828,C1,F6,2021-01-27,17:16:00,1192,"Clés, Carburant, Crevaison",2021-01-27,Essence,MCS,Assistance,1,0,0,0,0,0,2021,1
5669449,C3,F7,2022-12-27,15:27:00,1820,"Clés, Carburant, Crevaison",2022-12-27,Diesel,MCS,Assistance,1,0,0,0,0,0,2022,12
6209669,C4,F8,2022-04-14,12:23:00,162,Inconnue,2022-04-14,Essence,MCS,Assistance,1,1,0,0,0,0,2022,4
5513658,C3,???,2022-06-25,18:36:00,1111,Panne mécanique,2022-06-25,Essence,Higgins,Assistance,1,0,1,0,0,0,2022,6
6906850,C3,F3,2022-04-04,15:27:00,1110,"Clés, Carburant, Crevaison",2022-04-04,Diesel,MCS,,1,0,0,0,0,0,2022,4
7950393,C5,F122,2021-06-18,16:20:00,455,Panne mécanique,2021-06-18,Electricité,MCS,Assistance,1,0,0,0,0,0,2021,6
6945783,C4,F4,2022-06-02,09:09:00,947,Panne mécanique,2022-06-02,Diesel,MCS,Assistance,1,0,0,0,0,0,2022,6
8286016,C4,F8,2022-09-22,11:05:00,171,"Clés, Carburant, Crevaison",2022-09-22,Diesel,MCS,Assistance,1,0,0,0,0,0,2022,9
7049821,C5,F101,2022-05-23,08:34:00,567,Accident,2022-05-23,Hybride,MCS,Assistance,1,0,0,0,0,0,2022,5
6102868,C4,F8,2021-11-21,15:46:00,322,"Clés, Carburant, Crevaison",2021-11-21,Autre,MCS,Assistance,1,0,0,0,0,0,2021,11
7696730,C5,F129,2021-01-28,12:25:00,1706,Panne mécanique,2021-01-28,Essence,MCS,Assistance,1,0,0,0,0,0,2021,1
8348941,C1,F6,2022-06-26,10:33:00,1510,Panne mécanique,2022-06-26,Essence,Higgins,Assistance,1,0,0,0,0,0,2022,6
8179320,C1,F0,2022-05-25,07:53:00,1519,Panne mécanique,2022-05-25,Essence,Higgins,,1,0,0,0,0,0,2022,5
6867142,C1,F0,2021-12-03,09:20:00,1365,Panne mécanique,2021-12-02,Essence,Higgins,Assistance,1,0,0,0,0,0,2021,12
6341327,C5,F122,2021-03-01,17:52:00,137,Panne mécanique,2021-03-01,Essence,MCS,Assistance,0,0,0,0,0,0,2021,3
8305962,C1,F6,2021-03-19,14:01:00,1879,Panne mécanique,2021-03-17,Diesel,MCS,Assistance,1,0,0,0,0,0,2021,3
5753472,C1,F1,2022-07-17,16:42:00,890,Vol / Vandalisme,2022-07-17,Autre,MCS,Assistance,0,0,1,0,0,0,2022,7
5570735,C4,F4,2021-03-29,10:53:00,771,Panne mécanique,2021-03-29,Essence,MCS,Assistance,1,0,0,0,0,0,2021,3
6185290,C4,F4,2022-02-04,11:29:00,161,Panne mécanique,2022-02-04,Essence,Higgins,Assistance,1,0,0,0,0,0,2022,2
7581682,C3,F308,2022-09-20,11:55:00,999,Panne mécanique,2022-09-20,Essence,MCS,Assistance,1,0,0,0,0,0,2022,9
5650616,C14,F31,2021-10-14,01:57:00,1259,Panne mécanique,2021-10-14,Autre,MCS,Assistance,1,0,0,0,0,0,2021,10
6534217,C4,???,2022-05-15,05:49:00,1335,Accident,2022-05-15,Diesel,MCS,Assistance,1,0,1,0,0,0,2022,5
5622794,C10,F17,2021-10-05,10:30:00,1098,Panne mécanique,2021-10-05,Diesel,MCS,Assistance,1,0,0,0,0,0,2021,10
6651080,C8,F89,2022-12-05,12:42:00,808,Panne mécanique,2022-12-05,Electricité,MCS,Assistance,1,0,0,0,0,0,2022,12
7149475,C1,F0,2022-02-21,06:49:00,1134,Panne mécanique,2022-02-21,Diesel,MCS,Assistance,1,0,0,0,0,0,2022,2
7141153,C4,F4,2022-12-11,10:07:00,1293,Panne mécanique,2022-12-10,Diesel,Higgins,Assistance,1,0,0,0,0,0,2022,12
6815958,C14,F31,2022-12-17,09:36:00,479,Panne mécanique,2022-12-17,Diesel,MCS,Assistance,1,0,0,0,0,0,2022,12
5966453,C1,???,2021-06-23,13:58:00,1573,Panne mécanique,2021-06-23,Essence,MCS,Assistance,1,0,0,0,0,0,2021,6
8220489,C1,F1,2021-11-28,22:07:00,329,Accident,2021-11-28,Essence,MCS,Assistance,1,0,1,0,0,0,2021,11
6472367,C3,F5,2021-01-25,07:49:00,687,Panne mécanique,2021-01-25,Diesel,MCS,Assistance,1,0,0,0,0,0,2021,1
7195313,C3,F192,2022-07-05,09:31:00,1189,Panne mécanique,2022-07-04,Essence,Higgins,Assistance,1,0,0,0,0,0,2022,7
6921898,C4,F4,2021-04-18,08:46:00,1996,Panne mécanique,2021-04-18,Diesel,MCS,,1,0,0,0,0,0,2021,4
7136389,C7,???,2022-01-21,20:27:00,867,Accident,2022-01-21,Diesel,MCS,Assistance,1,0,0,0,0,0,2022,1
7151700,C3,F10,2022-02-19,16:13:00,1199,Panne mécanique,2022-02-19,Essence,Higgins,Assistance,1,0,0,0,0,0,2022,2
7793486,C4,F8,2021-06-07,08:30:00,864,Panne mécanique,2021-06-07,Essence,Higgins,Assistance,1,1,0,0,0,1,2021,6
8010653,C4,F4,2022-05-10,18:21:00,875,Accident,2022-05-10,Diesel,MCS,Assistance,1,0,0,0,0,0,2022,5
6523167,C5,F99,2022-11-28,17:01:00,465,Panne mécanique,2022-11-28,Diesel,MCS,Assistance,1,0,0,0,0,0,2022,11
6764627,C1,F0,2022-06-02,08:44:00,1305,Panne mécanique,2022-06-02,Diesel,Higgins,Assistance,1,0,0,0,0,0,2022,6
6979975,C35,F63,2021-10-19,08:41:00,382,Accident,2021-10-19,Diesel,MCS,Assistance,1,0,0,0,0,0,2021,10
7581969,C10,F20,2022-09-05,09:00:00,606,Panne mécanique,2022-09-05,Diesel,MCS,Assistance,1,0,0,0,0,0,2022,9
6942399,C1,F6,2022-06-26,10:02:00,1052,Panne mécanique,2022-06-26,Essence,Higgins,Assistance,1,0,0,0,0,0,2022,6
7961582,C1,F6,2021-06-12,11:41:00,841,Vol / Vandalisme,2021-06-12,Essence,MCS,Assistance,1,0,0,0,0,0,2021,6
8452549,C4,F4,2022-11-08,19:21:00,716,Panne mécanique,2022-11-08,Diesel,MCS,Assistance,1,0,0,0,0,0,2022,11
6435738,C5,F99,2022-02-18,18:53:00,2001,Panne mécanique,2022-02-18,Diesel,MCS,Assistance,1,0,1,0,0,0,2022,2
8096835,C25,F79,2022-09-30,15:47:00,1132,Panne mécanique,2022-09-30,Diesel,MCS,Assistance,1,0,0,0,0,0,2022,9
7778533,C3,F24,2021-06-10,08:26:00,439,Panne mécanique,2021-06-10,Essence,Higgins,Assistance,1,0,0,0,0,0,2021,6
8183046,C7,F12,2022-09-07,15:28:00,466,Panne mécanique,2022-09-07,Diesel,MCS,Assistance,0,1,0,0,0,0,2022,9
7240140,C3,F3,2022-08-04,23:44:00,2165,Panne mécanique,2022-08-04,Diesel,MCS,Assistance,1,0,0,0,0,0,2022,8
7675519,C3,F3,2021-01-18,18:19:00,620,Panne mécanique,2021-01-18,Diesel,MCS,Assistance,1,0,1,0,0,0,2021,1
7500090,C8,F40,2022-03-21,10:17:00,1188,Panne mécanique,2022-03-21,Essence,MCS,Assistance,1,0,0,0,0,0,2022,3
7691695,C16,F227,2021-05-19,17:08:00,207,"Clés, Carburant, Crevaison",2021-05-19,Essence,MCS,Assistance,1,0,0,0,0,0,2021,5
7851638,C1,F6,2021-05-27,10:15:00,171,Panne mécanique,2021-05-25,Essence,MCS,Assistance,1,0,0,0,0,0,2021,5
5575543,C3,F5,2021-04-03,11:31:00,1253,Panne mécanique,2021-04-03,Diesel,MCS,Assistance,1,0,1,0,0,0,2021,4
6453045,C4,F4,2022-11-21,07:33:00,788,Panne mécanique,2022-11-21,Diesel,MCS,Assistance,1,0,0,0,0,0,2022,11
6723238,C11,F25,2022-04-13,14:13:00,1871,Panne mécanique,2022-04-13,Essence,MCS,Assistance,1,0,0,0,0,0,2022,4
6532545,C3,F5,2021-12-10,14:25:00,341,Accident,2021-12-10,Essence,MCS,Assistance,1,1,0,0,0,0,2021,12
6093752,C4,F4,2021-01-26,17:34:00,1632,Panne mécanique,2021-01-26,Diesel,MCS,Assistance,1,0,0,0,0,0,2021,1
5971331,C12,F26,2021-10-26,09:52:00,680,Accident,2021-10-26,Autre,MCS,Assistance,1,0,0,0,0,0,2021,10
7600509,C1,F0,2022-08-24,12:05:00,1905,Vol / Vandalisme,2022-08-24,Essence,Higgins,Assistance,1,0,0,0,0,0,2022,8
8509437,C1,F0,2021-06-03,14:02:00,1836,"Clés, Carburant, Crevaison",2021-06-03,Diesel,MCS,Assistance,1,0,0,0,0,0,2021,6
6810416,C10,F17,2022-09-13,08:36:00,1602,Panne mécanique,2022-09-13,Diesel,MCS,Assistance,1,0,0,0,0,0,2022,9
6115249,C7,F72,2021-01-13,15:13:00,310,"Clés, Carburant, Crevaison",2021-01-13,Diesel,MCS,Assistance,1,0,0,0,0,1,2021,1
6584977,C1,???,2022-12-19,17:45:00,171,Panne mécanique,2022-12-17,Essence,MCS,Assistance,1,0,0,0,0,0,2022,12
5674924,C4,F4,2022-12-19,11:12:00,1020,Panne mécanique,2022-12-19,Essence,MCS,Assistance,1,0,0,0,0,0,2022,12
6445283,C4,F23,2022-05-10,13:35:00,519,Panne mécanique,2022-05-10,Diesel,Higgins,Assistance,1,0,0,0,0,0,2022,5
8379262,C3,F5,2021-07-12,10:22:00,2271,Panne mécanique,2021-07-12,Essence,Higgins,Assistance,1,0,1,0,0,0,2021,7
7115126,C3,F10,2022-02-15,15:31:00,428,Panne mécanique,2022-02-15,Essence,MCS,Assistance,1,0,1,0,1,0,2022,2
8275323,C3,???,2022-03-28,21:21:00,1542,Panne mécanique,2022-03-28,Diesel,Higgins,Assistance,1,0,0,0,0,0,2022,3
6497390,C0,???,2021-06-15,09:51:00,1714,Panne mécanique,2021-06-15,Essence,MCS,Assistance,1,0,0,0,0,0,2021,6
8504292,C18,F34,2022-12-23,10:40:00,633,Panne mécanique,2022-12-23,Diesel,MCS,Assistance,0,1,0,0,0,0,2022,12
7039211,C7,F12,2021-08-27,18:57:00,1835,Panne mécanique,2021-08-27,Diesel,MCS,Assistance,1,0,0,0,0,0,2021,8
7964253,C4,F4,2022-11-29,11:35:00,1095,Panne mécanique,2022-11-29,Diesel,MCS,Assistance,1,0,0,0,0,0,2022,11
6164422,C4,F14,2021-10-28,12:26:00,1635,Panne mécanique,2021-10-28,Essence,MCS,Assistance,1,0,0,0,0,0,2021,10
6489940,C4,F134,2022-09-20,14:45:00,286,Panne mécanique,2022-09-08,Autre,MCS,Administratif,0,0,0,0,0,1,2022,9
8393301,C3,F3,2022-06-30,14:55:00,289,Panne mécanique,2022-06-30,Essence,MCS,Assistance,1,0,0,0,0,0,2022,6
6074411,C1,F0,2022-05-28,09:13:00,411,Panne mécanique,2022-05-28,Diesel,Higgins,,1,0,0,0,0,0,2022,5
6865224,C3,F5,2021-12-20,12:27:00,1959,Panne mécanique,2021-12-20,Diesel,Higgins,Assistance,1,0,0,0,0,0,2021,12
6893466,C4,F14,2022-08-30,13:37:00,379,Panne mécanique,2022-08-30,Essence,Higgins,Assistance,1,0,0,0,0,0,2022,8
6459092,C3,???,2022-05-24,15:58:00,2053,Panne mécanique,2022-05-24,Diesel,Higgins,Assistance,1,0,0,0,0,0,2022,5
8058019,C0,F18,2021-07-02,00:09:00,606,Panne mécanique,2021-07-02,Essence,MCS,Assistance,1,0,0,0,0,0,2021,7
8370473,C4,F8,2021-09-25,11:54:00,956,Panne mécanique,2021-09-25,Diesel,MCS,,1,1,0,0,0,0,2021,9
6051694,C22,F130,2021-04-19,17:23:00,1151,"Clés, Carburant, Crevaison",2021-04-19,Essence,MCS,Assistance,1,0,0,0,0,0,2021,4
6296265,C1,F1,2021-02-21,11:47:00,1456,Panne mécanique,2021-02-21,Diesel,MCS,Assistance,1,1,1,0,1,0,2021,2
6846435,C0,???,2021-03-28,17:35:00,1269,"Clés, Carburant, Crevaison",2021-03-28,Diesel,MCS,Assistance,1,0,0,0,0,0,2021,3
6307877,C10,F17,2021-12-22,15:20:00,254,Panne mécanique,2021-12-22,Hybride,MCS,Assistance,1,1,0,0,0,0,2021,12
6380616,C1,F27,2022-08-30,10:51:00,934,Panne mécanique,2022-08-30,Essence,MCS,Assistance,1,0,0,0,0,0,2022,8
6721863,C1,F18,2022-03-19,11:47:00,283,Accident,2022-03-19,Essence,MCS,Assistance,1,0,0,0,0,0,2022,3
5912492,C4,F4,2021-01-11,15:44:00,807,Panne mécanique,2021-01-11,Diesel,Higgins,Assistance,1,0,1,0,0,0,2021,1
6436225,C4,F4,2022-01-11,14:27:00,1494,Accident,2022-01-11,Diesel,MCS,Assistance,1,0,0,0,0,0,2022,1
7314720,C4,F4,2022-10-01,12:54:00,931,Panne mécanique,2022-10-01,Diesel,MCS,Assistance,1,0,0,0,0,0,2022,10
7704836,C3,F83,2022-07-01,19:44:00,197,Inconnue,2022-07-01,Essence,Higgins,Assistance,1,0,0,0,0,0,2022,7
7104414,C1,???,2022-11-18,12:40:00,177,Panne mécanique,2022-09-21,Diesel,Higgins,Assistance,1,0,0,0,0,0,2022,11
7774024,C4,F23,2022-07-11,19:23:00,350,"Clés, Carburant, Crevaison",2022-07-09,Diesel,MCS,Assistance,1,0,0,0,0,0,2022,7
7719729,C3,F3,2022-12-03,16:06:00,2280,Panne mécanique,2022-12-03,Diesel,MCS,Assistance,1,0,1,0,0,0,2022,12
7279243,C4,F23,2021-08-26,11:07:00,1430,Accident,2021-08-25,Essence,MCS,Assistance,1,0,0,0,0,0,2021,8
7538220,C15,F117,2022-01-11,17:48:00,1042,"Clés, Carburant, Crevaison",2022-01-11,Autre,Higgins,Assistance,1,0,0,0,0,0,2022,1
6867277,C3,F3,2021-07-03,21:59:00,1358,"Clés, Carburant, Crevaison",2021-07-03,Diesel,MCS,Assistance,1,0,0,0,0,0,2021,7
6848587,C4,F4,2022-04-17,18:02:00,215,Panne mécanique,2022-04-17,Diesel,Higgins,Assistance,1,0,0,0,0,0,2022,4
8256585,C4,F23,2021-05-19,08:02:00,595,Accident,2021-05-19,Essence,MCS,Assistance,1,0,0,0,0,0,2021,5
6910058,C7,F58,2021-11-04,09:59:00,895,"Clés, Carburant, Crevaison",2021-11-04,Diesel,MCS,Assistance,1,0,0,0,0,0,2021,11
5975972,C3,F3,2022-10-14,18:00:00,231,Panne mécanique,2022-10-14,Diesel,MCS,Assistance,1,0,0,0,0,0,2022,10
6654783,C8,F32,2022-03-19,19:55:00,287,Panne mécanique,2022-03-19,Diesel,MCS,Assistance,1,0,0,0,0,0,2022,3
8353261,C1,F18,2022-06-19,00:12:00,745,Accident,2022-06-19,,MCS,Assistance,1,0,0,0,0,0,2022,6
7236426,C3,F5,2021-08-31,12:42:00,860,Panne mécanique,2021-08-31,Essence,Higgins,Assistance,1,0,0,0,0,0,2021,8
6444636,C7,F19,2022-02-25,19:02:00,730,Panne mécanique,2022-02-25,Diesel,MCS,Assistance,1,0,0,0,0,0,2022,2
5527153,C4,F4,2022-11-18,12:51:00,224,Panne mécanique,2022-11-18,Diesel,MCS,Assistance,1,0,0,0,0,0,2022,11
8395759,C1,F0,2022-05-30,13:51:00,817,Panne mécanique,2022-05-30,Essence,Higgins,Assistance,1,0,0,0,0,0,2022,5
7702747,C1,F0,2022-09-26,09:21:00,1830,Panne mécanique,2022-09-26,Diesel,MCS,Assistance,1,0,0,0,0,0,2022,9
7439412,C4,F4,2022-07-11,06:26:00,750,Panne mécanique,2022-07-11,Diesel,MCS,Assistance,1,0,0,0,0,0,2022,7
8097967,C1,F6,2021-03-29,07:42:00,1076,Panne mécanique,2021-03-29,Autre,MCS,Assistance,0,0,0,0,0,0,2021,3
5619743,C3,F3,2021-01-07,08:35:00,859,Panne mécanique,2021-01-07,Diesel,MCS,Assistance,1,0,0,0,0,0,2021,1
6443009,C1,F0,2021-12-24,16:49:00,212,Panne mécanique,2021-12-24,Diesel,MCS,Assistance,1,0,1,0,0,0,2021,12
7572768,C15,F33,2021-09-25,10:34:00,1439,Panne mécanique,2021-09-25,Essence,MCS,Assistance,1,0,0,0,0,0,2021,9
6413730,C1,F6,2021-03-16,13:46:00,916,Panne mécanique,2021-03-16,Diesel,MCS,,1,0,0,0,0,0,2021,3
6584659,C4,F4,2022-09-24,11:40:00,1397,Panne mécanique,2022-09-24,Autre,Higgins,,1,0,0,0,0,0,2022,9
6343732,C7,F12,2021-10-14,18:39:00,733,Incendie,2021-10-14,Essence,MCS,Assistance,0,1,0,0,0,0,2021,10
7751462,C4,F14,2021-06-16,13:40:00,230,"Clés, Carburant, Crevaison",2021-06-16,Essence,MCS,Assistance,1,0,0,0,0,0,2021,6
5519273,C4,F23,2022-12-17,08:31:00,1435,Panne mécanique,2022-12-17,Diesel,Higgins,Assistance,1,0,0,0,0,0,2022,12
8483796,C4,F4,2021-07-05,10:47:00,1656,Panne mécanique,2021-07-05,Diesel,Higgins,Assistance,1,0,0,0,0,0,2021,7
6151306,C1,F0,2021-09-27,11:01:00,1791,"Clés, Carburant, Crevaison",2021-09-27,Essence,MCS,Assistance,1,0,0,0,1,0,2021,9
6810745,C5,F36,2022-08-08,10:10:00,892,Panne mécanique,2022-08-08,Autre,MCS,Assistance,1,0,0,0,0,0,2022,8
6810057,C4,F4,2022-08-17,21:23:00,2141,Panne mécanique,2022-08-17,Autre,MCS,Assistance,1,0,1,0,1,0,2022,8
7898869,C23,F53,2021-03-08,17:05:00,1399,Accident,2021-03-08,Essence,MCS,Assistance,1,1,0,0,0,0,2021,3
5613807,C3,F3,2022-06-11,,720,Panne mécanique,2022-06-11,Essence,Higgins,Assistance,1,0,0,0,0,0,2022,6
5638556,C1,F1,2021-03-30,16:37:00,1253,Panne mécanique,2021-03-30,Essence,MCS,Assistance,0,1,0,0,0,0,2021,3
8418780,C4,???,2022-12-15,00:17:00,441,Accident,2022-12-15,Diesel,MCS,Assistance,1,0,0,0,0,0,2022,12
7984465,C3,F10,2022-09-01,18:28:00,453,Panne mécanique,2022-09-01,Essence,Higgins,Assistance,1,0,0,0,0,0,2022,9
6140281,C5,F142,2022-11-17,09:20:00,491,Autres,2022-11-17,Electricité,MCS,Assistance,1,0,0,0,0,0,2022,11
5974077,C0,F6,2021-07-27,11:30:00,2335,Panne mécanique,2021-07-27,Diesel,Higgins,Assistance,1,0,0,0,0,0,2021,7
6357480,C8,F70,2021-07-12,18:04:00,606,Panne mécanique,2021-07-12,Diesel,MCS,,1,1,0,0,0,1,2021,7
8488638,C4,F4,2022-01-16,15:45:00,576,Panne mécanique,2022-01-16,Autre,MCS,Assistance,1,0,1,0,0,0,2022,1
