Matricule,Date.presence,Lieu.travail,Population,Site,Type.de.contrat,Duree.travail,Temps.travail,Experience
1243,2021-02-19,TELE,CAS,A,CDI,3.666666,100,5813
1243,2021-02-22,TELE,CAS,A,CDI,5.666666,100,5814
1243,2021-02-23,TELE,CAS,A,CDI,5.5,100,5815
1243,2021-02-24,TELE,CAS,A,CDI,7.333333,100,5816
1243,2021-02-25,TELE,CAS,A,CDI,6.333333,100,5817
1243,2021-02-26,TELE,CAS,A,CDI,6.083333,100,5818
1243,2021-03-02,TELE,CAS,A,CDI,6.333333,100,5819
1243,2021-03-03,TELE,CAS,A,CDI,7.333333,100,5820
1243,2021-03-04,TELE,CAS,A,CDI,7.333333,100,5821
1243,2021-03-05,TELE,CAS,A,CDI,0.166666,100,5822
1243,2021-03-08,TELE,CAS,A,CDI,6.333333,100,5823
1243,2021-03-09,TELE,CAS,A,CDI,7.333333,100,5824
1243,2021-03-10,TELE,CAS,A,CDI,7.0,100,5825
1243,2021-03-11,TELE,CAS,A,CDI,7.333333,100,5826
1243,2021-03-12,TELE,CAS,A,CDI,7.333333,100,5827
1243,2021-03-16,TELE,CAS,A,CDI,7.333333,100,5828
1243,2021-03-17,TELE,CAS,A,CDI,7.333333,100,5829
1243,2021-03-18,TELE,CAS,A,CDI,7.333333,100,5830
1243,2021-03-19,TELE,CAS,A,CDI,5.833333,100,5831
1243,2021-03-22,TELE,CAS,A,CDI,5.266666,100,5832
1243,2021-03-24,TELE,CAS,A,CDI,2.666666,100,5833
1243,2021-03-25,TELE,CAS,A,CDI,7.333333,100,5834
1243,2021-03-26,TELE,CAS,A,CDI,7.333333,100,5835
1243,2021-03-29,TELE,CAS,A,CDI,7.166666,100,5836
1243,2021-03-30,TELE,CAS,A,CDI,3.666666,100,5837
1243,2021-03-31,TELE,CAS,A,CDI,7.333333,100,5838
1243,2021-04-01,TELE,CAS,A,CDI,7.333333,100,5839
1243,2021-04-02,TELE,CAS,A,CDI,7.333333,100,5840
1243,2021-04-06,TELE,CAS,A,CDI,6.833333,100,5841
1243,2021-04-08,TELE,CAS,A,CDI,0.166666,100,5842
1243,2021-04-09,TELE,CAS,A,CDI,6.833333,100,5843
1243,2021-04-12,TELE,CAS,A,CDI,5.333333,100,5844
1243,2021-04-13,TELE,CAS,A,CDI,3.666666,100,5845
1243,2021-04-14,TELE,CAS,A,CDI,5.75,100,5846
1243,2021-04-15,TELE,CAS,A,CDI,7.333333,100,5847
1243,2021-04-19,TELE,CAS,A,CDI,7.333333,100,5848
1243,2021-04-20,TELE,CAS,A,CDI,7.333333,100,5849
1243,2021-04-21,TELE,CAS,A,CDI,5.0,100,5850
1243,2021-04-22,TELE,CAS,A,CDI,7.333333,100,5851
1243,2021-04-23,TELE,CAS,A,CDI,7.333333,100,5852
1243,2021-04-26,TELE,CAS,A,CDI,7.333333,100,5853
1243,2021-04-29,TELE,CAS,A,CDI,0.333333,100,5854
1243,2021-05-03,TELE,CAS,A,CDI,6.883333,100,5855
1243,2021-05-04,TELE,CAS,A,CDI,6.0,100,5856
1243,2021-05-05,TELE,CAS,A,CDI,6.583333,100,5857
1243,2021-05-06,TELE,CAS,A,CDI,7.333333,100,5858
1243,2021-05-07,TELE,CAS,A,CDI,7.333333,100,5859
1243,2021-05-11,TELE,CAS,A,CDI,0.333333,100,5860
1243,2021-05-12,TELE,CAS,A,CDI,3.666666,100,5861
1243,2021-05-17,TELE,CAS,A,CDI,6.916666,100,5862
1243,2021-05-18,TELE,CAS,A,CDI,6.333333,100,5863
1243,2021-05-19,TELE,CAS,A,CDI,4.333333,100,5864
1243,2021-05-20,TELE,CAS,A,CDI,3.666666,100,5865
1243,2021-05-21,TELE,CAS,A,CDI,6.333333,100,5866
1243,2021-05-27,TELE,CAS,A,CDI,0.333333,100,5867
1243,2021-06-01,TELE,CAS,A,CDI,6.0,100,5868
1243,2021-06-02,TELE,CAS,A,CDI,7.333333,100,5869
1243,2021-06-11,SITE,CAS,A,CDI,3.25,100,5870
1243,2021-06-14,TELE,CAS,A,CDI,5.333333,100,5871
1243,2021-06-15,TELE,CAS,A,CDI,5.333333,100,5872
1243,2021-06-18,TELE,CAS,A,CDI,5.5,100,5873
1243,2021-06-24,TELE,CAS,A,CDI,0.333333,100,5874
1243,2021-08-03,SITE,CAS,A,CDI,6.25,100,5875
1243,2021-08-11,SITE,CAS,A,CDI,5.5,100,5876
1243,2021-08-12,SITE,CAS,A,CDI,7.333333,100,5877
1243,2021-08-13,SITE,CAS,A,CDI,5.5,100,5878
1243,2021-08-20,SITE,CAS,A,CDI,7.333333,100,5879
1243,2021-08-27,SITE,CAS,A,CDI,0.5,100,5880
1243,2021-09-01,SITE,CAS,A,CDI,0.75,100,5881
1243,2021-09-20,TELE,CAS,A,CDI,7.333333,100,5882
1243,2021-09-21,TELE,CAS,A,CDI,7.333333,100,5883
1243,2021-09-22,TELE,CAS,A,CDI,5.0,100,5884
1243,2021-09-23,TELE,CAS,A,CDI,7.333333,100,5885
1243,2021-09-24,TELE,CAS,A,CDI,4.0,100,5886
1243,2021-09-27,TELE,CAS,A,CDI,6.666666,100,5887
1243,2021-09-28,TELE,CAS,A,CDI,4.666666,100,5888
1243,2021-09-29,SITE,CAS,A,CDI,7.333333,100,5889
1243,2021-09-30,TELE,CAS,A,CDI,1.0,100,5890
1243,2021-10-01,TELE,CAS,A,CDI,3.666666,100,5891
1243,2021-10-04,TELE,CAS,A,CDI,7.333333,100,5892
1243,2021-10-05,TELE,CAS,A,CDI,6.333333,100,5893
1243,2021-10-06,SITE,CAS,A,CDI,7.333333,100,5894
1243,2021-10-07,TELE,CAS,A,CDI,3.216666,100,5895
1243,2021-10-08,TELE,CAS,A,CDI,6.75,100,5896
1243,2021-10-12,TELE,CAS,A,CDI,0.166666,100,5897
1243,2021-10-13,SITE,CAS,A,CDI,6.833333,100,5898
1243,2021-10-14,TELE,CAS,A,CDI,7.333333,100,5899
1243,2021-10-15,TELE,CAS,A,CDI,7.333333,100,5900
1243,2021-10-18,TELE,CAS,A,CDI,4.0,100,5901
1243,2021-10-19,TELE,CAS,A,CDI,5.5,100,5902
1243,2021-10-20,SITE,CAS,A,CDI,5.0,100,5903
1243,2021-10-21,TELE,CAS,A,CDI,7.333333,100,5904
1243,2021-10-22,TELE,CAS,A,CDI,7.333333,100,5905
1243,2021-10-25,TELE,CAS,A,CDI,7.333333,100,5906
1243,2021-10-26,TELE,CAS,A,CDI,7.333333,100,5907
1243,2021-10-27,SITE,CAS,A,CDI,7.333333,100,5908
1243,2021-10-28,TELE,CAS,A,CDI,0.833333,100,5909
1243,2021-10-29,TELE,CAS,A,CDI,3.666666,100,5910
1243,2021-11-02,TELE,CAS,A,CDI,7.333333,100,5911
1243,2021-11-03,SITE,CAS,A,CDI,7.333333,100,5912
1243,2021-11-04,TELE,CAS,A,CDI,7.333333,100,5913
1243,2021-11-08,TELE,CAS,A,CDI,6.5,100,5914
1243,2021-11-09,TELE,CAS,A,CDI,7.333333,100,5915
1243,2021-11-10,SITE,CAS,A,CDI,3.666666,100,5916
1243,2021-11-12,SITE,CAS,A,CDI,7.333333,100,5917
1243,2021-11-15,TELE,CAS,A,CDI,7.333333,100,5918
1243,2021-11-16,TELE,CAS,A,CDI,0.166666,100,5919
1243,2021-11-17,SITE,CAS,A,CDI,3.166666,100,5920
1243,2021-11-18,TELE,CAS,A,CDI,3.166666,100,5921
1243,2021-11-19,SITE,CAS,A,CDI,7.333333,100,5922
1243,2021-11-22,TELE,CAS,A,CDI,7.333333,100,5923
1243,2021-11-23,TELE,CAS,A,CDI,7.333333,100,5924
1243,2021-11-24,SITE,CAS,A,CDI,3.666666,100,5925
1243,2021-11-25,TELE,CAS,A,CDI,0.75,100,5926
1243,2021-11-29,TELE,CAS,A,CDI,4.0,100,5927
1243,2021-11-30,TELE,CAS,A,CDI,6.833333,100,5928
1243,2021-12-01,SITE,CAS,A,CDI,2.5,100,5929
1243,2021-12-02,TELE,CAS,A,CDI,3.666666,100,5930
1243,2021-12-03,SITE,CAS,A,CDI,6.083333,100,5931
1243,2021-12-08,TELE,CAS,A,CDI,4.166666,100,5932
1243,2021-12-09,TELE,CAS,A,CDI,4.166666,100,5933
1243,2021-12-13,TELE,CAS,A,CDI,5.0,100,5934
1243,2021-12-20,TELE,CAS,A,CDI,7.333333,100,5935
1243,2021-12-22,SITE,CAS,A,CDI,7.333333,100,5936
1243,2021-12-30,TELE,CAS,A,CDI,7.333333,100,5937
1243,2021-12-31,SITE,CAS,A,CDI,7.333333,100,5938
1243,2022-01-03,TELE,CAS,A,CDI,7.333333,100,5939
1243,2022-01-06,TELE,CAS,A,CDI,7.333333,100,5940
1243,2022-01-10,TELE,CAS,A,CDI,7.333333,100,5941
1243,2022-01-11,TELE,CAS,A,CDI,7.333333,100,5942
1243,2022-01-13,TELE,CAS,A,CDI,7.333333,100,5943
1243,2022-01-17,TELE,CAS,A,CDI,7.333333,100,5944
1243,2022-01-19,SITE,CAS,A,CDI,7.333333,100,5945
1243,2022-01-20,TELE,CAS,A,CDI,7.333333,100,5946
1243,2022-01-21,SITE,CAS,A,CDI,7.333333,100,5947
1243,2022-01-24,TELE,CAS,A,CDI,7.333333,100,5948
1243,2022-01-26,SITE,CAS,A,CDI,7.333333,100,5949
1243,2022-01-27,TELE,CAS,A,CDI,7.333333,100,5950
1243,2022-01-28,SITE,CAS,A,CDI,7.333333,100,5951
1243,2022-01-31,TELE,CAS,A,CDI,7.333333,100,5952
1243,2022-02-10,TELE,CAS,A,CDI,7.333333,100,5953
1243,2022-02-11,SITE,CAS,A,CDI,7.333333,100,5954
1243,2022-02-14,TELE,CAS,A,CDI,7.333333,100,5955
1243,2022-02-15,TELE,CAS,A,CDI,7.333333,100,5956
1243,2022-02-21,TELE,CAS,A,CDI,7.333333,100,5957
1243,2022-02-22,TELE,CAS,A,CDI,7.333333,100,5958
1243,2022-02-23,SITE,CAS,A,CDI,7.083333,100,5959
1243,2022-02-25,SITE,CAS,A,CDI,7.333333,100,5960
1243,2022-03-01,SITE,CAS,A,CDI,7.333333,100,5961
1243,2022-03-02,TELE,CAS,A,CDI,7.333333,100,5962
1243,2022-03-03,TELE,CAS,A,CDI,7.333333,100,5963
1243,2022-03-07,SITE,CAS,A,CDI,7.333333,100,5964
1243,2022-03-08,SITE,CAS,A,CDI,7.333333,100,5965
1243,2022-03-09,SITE,CAS,A,CDI,7.333333,100,5966
1243,2022-03-10,SITE,CAS,A,CDI,7.333333,100,5967
1243,2022-03-11,TELE,CAS,A,CDI,7.333333,100,5968
1243,2022-03-14,TELE,CAS,A,CDI,7.333333,100,5969
1243,2022-03-15,TELE,CAS,A,CDI,7.333333,100,5970
1243,2022-03-16,SITE,CAS,A,CDI,7.333333,100,5971
1243,2022-03-17,SITE,CAS,A,CDI,7.333333,100,5972
1243,2022-03-22,SITE,CAS,A,CDI,7.333333,100,5973
1243,2022-03-23,SITE,CAS,A,CDI,7.333333,100,5974
1243,2022-03-24,TELE,CAS,A,CDI,7.333333,100,5975
1243,2022-03-28,TELE,CAS,A,CDI,6.166666,100,5976
1243,2022-03-29,SITE,CAS,A,CDI,7.333333,100,5977
1243,2022-03-30,SITE,CAS,A,CDI,5.0,100,5978
1243,2022-03-31,SITE,CAS,A,CDI,7.333333,100,5979
1243,2022-04-01,SITE,CAS,A,CDI,5.333333,100,5980
1243,2022-04-04,TELE,CAS,A,CDI,7.333333,100,5981
1243,2022-04-05,TELE,CAS,A,CDI,7.333333,100,5982
1243,2022-04-06,SITE,CAS,A,CDI,7.333333,100,5983
1243,2022-04-07,SITE,CAS,A,CDI,7.333333,100,5984
1243,2022-04-11,SITE,CAS,A,CDI,7.333333,100,5985
1243,2022-04-12,SITE,CAS,A,CDI,7.116666,100,5986
1243,2022-04-13,SITE,CAS,A,CDI,7.333333,100,5987
1243,2022-04-14,TELE,CAS,A,CDI,7.333333,100,5988
1243,2022-04-19,SITE,CAS,A,CDI,7.333333,100,5989
1243,2022-04-22,TELE,CAS,A,CDI,7.333333,100,5990
1243,2022-04-27,TELE,CAS,A,CDI,7.333333,100,5991
1243,2022-04-28,SITE,CAS,A,CDI,7.333333,100,5992
1243,2022-04-29,SITE,CAS,A,CDI,7.166666,100,5993
1243,2022-05-09,TELE,CAS,A,CDI,7.333333,80,5994
1243,2022-05-10,TELE,CAS,A,CDI,7.333333,80,5995
1243,2022-05-11,TELE,CAS,A,CDI,7.333333,80,5996
1243,2022-05-16,TELE,CAS,A,CDI,7.333333,80,5997
1243,2022-05-18,TELE,CAS,A,CDI,7.333333,80,5998
1243,2022-05-19,SITE,CAS,A,CDI,7.333333,80,5999
1243,2022-05-23,TELE,CAS,A,CDI,6.083333,80,6000
1243,2022-05-25,SITE,CAS,A,CDI,7.333333,80,6001
1243,2022-05-30,TELE,CAS,A,CDI,7.333333,80,6002
1243,2022-05-31,SITE,CAS,A,CDI,7.333333,80,6003
1243,2022-06-01,SITE,CAS,A,CDI,7.333333,80,6004
1243,2022-06-02,SITE,CAS,A,CDI,3.666666,80,6005
1243,2022-06-07,TELE,CAS,A,CDI,7.333333,80,6006
1243,2022-06-08,TELE,CAS,A,CDI,7.333333,80,6007
1243,2022-06-14,SITE,CAS,A,CDI,7.333333,80,6008
1243,2022-06-21,TELE,CAS,A,CDI,7.333333,80,6009
1243,2022-08-01,SITE,CAS,A,CDI,7.333333,80,6010
1243,2022-08-03,SITE,CAS,A,CDI,7.333333,80,6011
1243,2022-08-17,SITE,CAS,A,CDI,7.333333,80,6012
1243,2022-08-18,SITE,CAS,A,CDI,7.333333,80,6013
1243,2022-08-29,SITE,CAS,A,CDI,7.333333,80,6014
1243,2022-08-30,SITE,CAS,A,CDI,7.333333,80,6015
1243,2022-08-31,SITE,CAS,A,CDI,7.333333,80,6016
1243,2022-09-01,SITE,CAS,A,CDI,7.333333,80,6017
1243,2022-09-20,SITE,CAS,A,CDI,7.333333,80,6018
1243,2022-09-21,SITE,CAS,A,CDI,7.333333,80,6019
1243,2022-09-22,SITE,CAS,A,CDI,7.333333,80,6020
1243,2022-09-26,SITE,CAS,A,CDI,5.866666,80,6021
1243,2022-09-27,SITE,CAS,A,CDI,5.866666,80,6022
1243,2022-09-28,SITE,CAS,A,CDI,5.866666,80,6023
1243,2022-09-29,SITE,CAS,A,CDI,7.333333,80,6024
1243,2022-10-04,TELE,CAS,A,CDI,7.333333,80,6025
1243,2022-10-10,TELE,CAS,A,CDI,7.2,80,6026
1243,2022-10-11,TELE,CAS,A,CDI,7.166666,80,6027
1243,2022-10-12,TELE,CAS,A,CDI,7.333333,80,6028
1243,2022-10-13,TELE,CAS,A,CDI,7.333333,80,6029
1243,2022-10-17,TELE,CAS,A,CDI,7.333333,80,6030
1243,2022-10-18,TELE,CAS,A,CDI,7.333333,80,6031
1243,2022-10-20,SITE,CAS,A,CDI,7.333333,80,6032
1243,2022-10-26,TELE,CAS,A,CDI,6.983333,80,6033
1243,2022-10-27,TELE,CAS,A,CDI,7.333333,80,6034
1243,2022-10-28,TELE,CAS,A,CDI,7.333333,80,6035
1243,2022-11-03,TELE,CAS,A,CDI,7.333333,80,6036
1243,2022-11-04,TELE,CAS,A,CDI,7.333333,80,6037
1243,2022-11-08,TELE,CAS,A,CDI,7.333333,80,6038
1243,2022-11-10,TELE,CAS,A,CDI,7.333333,80,6039
1243,2022-11-22,TELE,CAS,A,CDI,7.333333,80,6040
1243,2022-11-23,SITE,CAS,A,CDI,7.333333,80,6041
1243,2022-11-30,SITE,CAS,A,CDI,6.933333,80,6042
1243,2022-12-01,TELE,CAS,A,CDI,7.333333,80,6043
1243,2022-12-05,TELE,CAS,A,CDI,7.333333,80,6044
1243,2022-12-06,SITE,CAS,A,CDI,5.916666,80,6045
1243,2022-12-07,SITE,CAS,A,CDI,7.333333,80,6046
1243,2022-12-13,TELE,CAS,A,CDI,7.333333,80,6047
1243,2022-12-16,TELE,CAS,A,CDI,7.333333,80,6048
1243,2022-12-21,TELE,CAS,A,CDI,7.333333,80,6049
1243,2022-12-22,TELE,CAS,A,CDI,7.333333,80,6050
1243,2022-12-29,TELE,CAS,A,CDI,7.333333,80,6051
1243,2022-12-30,TELE,CAS,A,CDI,7.333333,80,6052
802,2021-01-06,TELE,CAS,A,CDI,3.666666,60,1316
802,2021-01-11,TELE,CAS,A,CDI,7.333333,60,1317
802,2021-01-12,TELE,CAS,A,CDI,7.333333,60,1318
802,2021-01-13,TELE,CAS,A,CDI,7.333333,60,1319
802,2021-01-22,TELE,CAS,A,CDI,4.25,60,1320
802,2021-01-24,TELE,CAS,A,CDI,5.5,60,1321
802,2021-01-25,TELE,CAS,A,CDI,3.666666,60,1322
802,2021-01-27,TELE,CAS,A,CDI,7.083333,60,1323
802,2021-01-28,TELE,CAS,A,CDI,7.333333,60,1324
802,2021-01-29,TELE,CAS,A,CDI,1.75,60,1325
802,2021-01-30,TELE,CAS,A,CDI,6.25,60,1326
802,2021-02-01,TELE,CAS,A,CDI,5.333333,60,1327
802,2021-02-02,TELE,CAS,A,CDI,2.0,60,1328
802,2021-02-07,TELE,CAS,A,CDI,5.5,60,1329
802,2021-02-08,TELE,CAS,A,CDI,3.666666,60,1330
802,2021-02-10,TELE,CAS,A,CDI,7.333333,60,1331
802,2021-02-11,TELE,CAS,A,CDI,3.666666,60,1332
802,2021-02-12,TELE,CAS,A,CDI,7.333333,60,1333
802,2021-02-23,TELE,CAS,A,CDI,7.333333,60,1334
802,2021-02-25,TELE,CAS,A,CDI,5.5,60,1335
802,2021-02-26,TELE,CAS,A,CDI,1.75,60,1336
802,2021-02-27,TELE,CAS,A,CDI,6.25,60,1337
802,2021-03-02,TELE,CAS,A,CDI,7.333333,60,1338
802,2021-03-03,TELE,CAS,A,CDI,7.333333,60,1339
802,2021-03-07,TELE,CAS,A,CDI,5.5,60,1340
802,2021-03-08,TELE,CAS,A,CDI,7.333333,60,1341
802,2021-03-11,TELE,CAS,A,CDI,7.333333,60,1342
802,2021-03-12,TELE,CAS,A,CDI,7.333333,60,1343
802,2021-03-16,TELE,CAS,A,CDI,5.5,60,1344
802,2021-03-18,TELE,CAS,A,CDI,3.666666,60,1345
802,2021-03-23,TELE,CAS,A,CDI,6.833333,60,1346
802,2021-03-24,TELE,CAS,A,CDI,4.166666,60,1347
802,2021-03-25,TELE,CAS,A,CDI,3.666666,60,1348
802,2021-03-26,TELE,CAS,A,CDI,1.75,60,1349
802,2021-03-27,TELE,CAS,A,CDI,6.25,60,1350
802,2021-03-29,TELE,CAS,A,CDI,7.333333,60,1351
802,2021-04-03,TELE,CAS,A,CDI,5.5,60,1352
802,2021-04-07,TELE,CAS,A,CDI,3.666666,60,1353
802,2021-04-19,TELE,CAS,A,CDI,5.833333,60,1354
802,2021-04-21,TELE,CAS,A,CDI,5.5,60,1355
802,2021-04-22,TELE,CAS,A,CDI,7.333333,60,1356
802,2021-04-23,TELE,CAS,A,CDI,6.833333,60,1357
802,2021-04-24,TELE,CAS,A,CDI,0.5,60,1358
802,2021-04-25,TELE,CAS,A,CDI,1.75,60,1359
802,2021-04-26,TELE,CAS,A,CDI,6.25,60,1360
802,2021-05-03,TELE,CAS,A,CDI,7.333333,60,1361
802,2021-05-08,TELE,CAS,A,CDI,6.083333,60,1362
802,2021-05-09,TELE,CAS,A,CDI,6.666666,60,1363
802,2021-05-10,TELE,CAS,A,CDI,3.666666,60,1364
802,2021-05-14,TELE,CAS,A,CDI,7.333333,60,1365
802,2021-05-20,TELE,CAS,A,CDI,5.5,60,1366
802,2021-05-21,TELE,CAS,A,CDI,6.833333,60,1367
802,2021-05-22,TELE,CAS,A,CDI,0.5,60,1368
802,2021-05-24,SITE,CAS,A,CDI,1.75,60,1369
802,2021-05-25,SITE,CAS,A,CDI,6.25,60,1370
802,2021-05-28,TELE,CAS,A,CDI,7.333333,60,1371
802,2021-05-30,TELE,CAS,A,CDI,5.5,60,1372
802,2021-05-31,TELE,CAS,A,CDI,3.666666,60,1373
802,2021-06-03,TELE,CAS,A,CDI,3.666666,60,1374
802,2021-06-04,TELE,CAS,A,CDI,7.333333,60,1375
802,2021-06-05,TELE,CAS,A,CDI,5.333333,60,1376
802,2021-06-06,TELE,CAS,A,CDI,2.0,60,1377
802,2021-06-08,TELE,CAS,A,CDI,7.3334,60,1378
802,2021-06-09,TELE,CAS,A,CDI,7.333333,60,1379
802,2021-06-14,TELE,CAS,A,CDI,7.333333,60,1380
802,2021-06-16,TELE,CAS,A,CDI,3.666666,60,1381
802,2021-06-17,TELE,CAS,A,CDI,3.666666,60,1382
802,2021-06-18,TELE,CAS,A,CDI,7.333333,60,1383
802,2021-06-20,TELE,CAS,A,CDI,5.5,60,1384
802,2021-06-22,SITE,CAS,A,CDI,1.75,60,1385
802,2021-06-23,SITE,CAS,A,CDI,6.25,60,1386
802,2021-07-02,TELE,CAS,A,CDI,7.333333,60,1387
802,2021-07-03,SITE,CAS,A,CDI,1.75,60,1388
802,2021-07-04,SITE,CAS,A,CDI,6.25,60,1389
802,2021-07-08,TELE,CAS,A,CDI,6.666666,60,1390
802,2021-07-09,TELE,CAS,A,CDI,7.333333,60,1391
802,2021-07-12,TELE,CAS,A,CDI,7.333333,60,1392
802,2021-07-13,TELE,CAS,A,CDI,7.333333,60,1393
802,2021-07-15,TELE,CAS,A,CDI,7.333333,60,1394
802,2021-07-17,TELE,CAS,A,CDI,7.333333,60,1395
802,2021-07-18,TELE,CAS,A,CDI,6.0,60,1396
802,2021-07-19,TELE,CAS,A,CDI,5.5,60,1397
802,2021-07-22,TELE,CAS,A,CDI,7.333333,60,1398
802,2021-07-23,TELE,CAS,A,CDI,7.333333,60,1399
802,2021-07-26,TELE,CAS,A,CDI,3.666666,60,1400
802,2021-07-29,TELE,CAS,A,CDI,7.333333,60,1401
802,2021-07-30,TELE,CAS,A,CDI,7.333333,60,1402
802,2021-07-31,TELE,CAS,A,CDI,7.333333,60,1403
802,2021-08-01,TELE,CAS,A,CDI,5.333333,60,1404
802,2021-08-02,TELE,CAS,A,CDI,2.0,60,1405
802,2021-08-04,TELE,CAS,A,CDI,7.333333,60,1406
802,2021-08-23,TELE,CAS,A,CDI,3.666666,60,1407
802,2021-08-24,TELE,CAS,A,CDI,5.5,60,1408
802,2021-08-26,TELE,CAS,A,CDI,7.333333,60,1409
802,2021-08-27,TELE,CAS,A,CDI,7.333333,60,1410
802,2021-08-28,TELE,CAS,A,CDI,5.5,60,1411
802,2021-08-30,TELE,CAS,A,CDI,3.666666,60,1412
802,2021-08-31,TELE,CAS,A,CDI,3.666666,60,1413
802,2021-09-03,TELE,CAS,A,CDI,6.833333,60,1414
802,2021-09-04,TELE,CAS,A,CDI,0.5,60,1415
802,2021-09-05,SITE,CAS,A,CDI,1.75,60,1416
802,2021-09-06,SITE,CAS,A,CDI,6.25,60,1417
802,2021-09-09,TELE,CAS,A,CDI,7.333333,60,1418
802,2021-09-10,TELE,CAS,A,CDI,7.333333,60,1419
802,2021-09-13,TELE,CAS,A,CDI,3.666666,60,1420
802,2021-09-14,TELE,CAS,A,CDI,3.666666,60,1421
802,2021-09-15,TELE,CAS,A,CDI,5.5,60,1422
802,2021-09-18,TELE,CAS,A,CDI,7.333333,60,1423
802,2021-09-19,TELE,CAS,A,CDI,5.5,60,1424
802,2021-09-22,TELE,CAS,A,CDI,3.666666,60,1425
802,2021-09-23,TELE,CAS,A,CDI,7.333333,60,1426
802,2021-09-27,TELE,CAS,A,CDI,7.333333,60,1427
802,2021-09-29,TELE,CAS,A,CDI,7.333333,60,1428
802,2021-09-30,TELE,CAS,A,CDI,6.666666,60,1429
802,2021-10-01,SITE,CAS,A,CDI,7.333333,60,1430
802,2021-10-02,TELE,CAS,A,CDI,5.5,60,1431
802,2021-10-05,TELE,CAS,A,CDI,7.333333,60,1432
802,2021-10-07,TELE,CAS,A,CDI,6.25,60,1433
802,2021-10-08,SITE,CAS,A,CDI,7.333333,60,1434
802,2021-10-18,TELE,CAS,A,CDI,7.333333,60,1435
802,2021-10-19,TELE,CAS,A,CDI,7.333333,60,1436
802,2021-10-20,TELE,CAS,A,CDI,3.666666,60,1437
802,2021-10-22,SITE,CAS,A,CDI,1.75,60,1438
802,2021-10-23,SITE,CAS,A,CDI,6.25,60,1439
802,2021-10-27,TELE,CAS,A,CDI,3.666666,60,1440
802,2021-10-28,TELE,CAS,A,CDI,5.0,60,1441
802,2021-11-08,TELE,CAS,A,CDI,7.333333,60,1442
802,2021-11-15,TELE,CAS,A,CDI,7.333333,60,1443
802,2021-11-18,SITE,CAS,A,CDI,3.666666,60,1444
802,2021-11-19,TELE,CAS,A,CDI,2.666666,60,1445
802,2021-11-20,TELE,CAS,A,CDI,7.333333,60,1446
802,2021-11-22,TELE,CAS,A,CDI,7.333333,60,1447
802,2021-11-26,TELE,CAS,A,CDI,5.5,60,1448
802,2021-11-27,TELE,CAS,A,CDI,5.5,60,1449
802,2021-11-29,TELE,CAS,A,CDI,5.333333,60,1450
802,2021-11-30,TELE,CAS,A,CDI,2.0,60,1451
802,2021-12-03,TELE,CAS,A,CDI,3.666666,60,1452
802,2021-12-06,TELE,CAS,A,CDI,3.666666,60,1453
802,2021-12-07,TELE,CAS,A,CDI,3.666666,60,1454
802,2021-12-08,SITE,CAS,A,CDI,5.333333,60,1455
802,2021-12-09,SITE,CAS,A,CDI,2.0,60,1456
802,2021-12-16,SITE,CAS,A,CDI,7.333333,60,1457
802,2021-12-17,TELE,CAS,A,CDI,5.5,60,1458
802,2021-12-18,TELE,CAS,A,CDI,5.5,60,1459
802,2021-12-23,SITE,CAS,A,CDI,7.333333,60,1460
